,index,number of fov,result1,time1,result2 with MC,time2,error
83,9,410,0.4306573781683403,597.9727110862732,0.424,0.024657011032104492,0.006657378168340333
84,81,412,0.31342251061162535,458.76202487945557,0.296,0.029953956604003906,0.017422510611625364
85,42,423,0.45652676183344165,470.6174330711365,0.459,0.030129194259643555,-0.002473238166558367
86,46,440,0.33857045079607645,409.91463708877563,0.332,0.0312502384185791,0.0065704507960764325
87,78,441,0.373137599683696,480.9661159515381,0.367,0.025572776794433594,0.006137599683695982
88,12,453,0.4696634989288963,590.7696828842163,0.468,0.02896404266357422,0.0016634989288962787
89,66,456,0.46388415257486093,525.9421079158783,0.461,0.02754998207092285,0.00288415257486091
90,0,466,0.4161496597102449,556.2316339015961,0.395,0.044924259185791016,0.021149659710244906
91,45,532,0.40028863302150614,713.1109991073608,0.378,0.02774786949157715,0.022288633021506132
92,40,559,0.40506746636324464,756.3730690479279,0.419,0.038289785385131836,-0.01393253363675534
93,1,1080,0.48456658476621167,1477.526715040207,0.52,0.0486598014831543,-0.035433415233788346
94,11,1307,0.6137401152638495,2026.7297022342682,0.622,0.0715949535369873,-0.008259884736150469
95,93,1683,0.6687571141670152,2498.7482028007507,0.665,0.07899689674377441,0.0037571141670151853
96,34,1999,0.7246794425142546,6653.7974898815155,0.704,0.09133625030517578,0.020679442514254687
97,44,2031,0.6859379292738217,3399.3167490959167,0.678,0.09854912757873535,0.007937929273821642
98,67,2072,0.6879711128763778,2753.5845708847046,0.69,0.07582592964172363,-0.0020288871236221473
99,61,2536,0.7502591523039646,4325.377890110016,0.77,0.1144568920135498,-0.019740847696035457
